Loan Number,Country,Interest Rate,Currency of Commitment,Project ID,Original Principal Amount,Cancelled Amount,Disbursed Amount,Repaid to IBRD,Sold 3rd Party,First Repayment Date,Last Repayment Date
IBRD03500,Malaysia,5.5,USD,P004216,"$51,900,000.00 ","$764,191.49 ","$51,135,808.51 ","$47,940,804.58 ","$3,195,003.93 ",05/01/1968,05/01/1988
IBRD03510,Malta,5.5,USD,P005346,"$7,500,000.00 ","$1,459,920.43 ","$6,040,079.57 ","$34,079.57 ","$6,006,000.00 ",04/15/1966,04/15/1983
IBRD03520,Finland,0,USD,P037374,"$7,000,000.00 ",$0.00 ,"$7,000,000.00 ","$7,000,000.00 ",$0.00 ,04/01/1965,10/01/1979
IBRD03530,"Venezuela, Republica Bolivariana de",5.5,USD,P008181,"$85,000,000.00 ",$0.00 ,"$85,000,000.00 ","$83,150,000.00 ","$1,850,000.00 ",05/01/1968,11/01/1988
IBRD03540,Mexico,5.5,USD,P007510,"$40,000,000.00 ","$980,091.02 ","$39,019,908.98 ","$35,794,908.98 ","$3,225,000.00 ",04/01/1965,04/01/1984
IBRD03550,Mauritius,5.5,USD,P001877,"$7,000,000.00 ","$26,880.93 ","$6,973,119.07 ","$2,022,522.89 ","$4,950,596.18 ",06/01/1966,12/01/1983
IBRD03560,"Taiwan, China",5.5,USD,P003660,"$7,800,000.00 ","$253,203.72 ","$7,546,796.28 ","$5,786,796.28 ","$1,760,000.00 ",08/01/1966,08/01/1978
IBRD03570,Japan,5.5,USD,P037444,"$75,000,000.00 ",$0.00 ,"$75,000,000.00 ","$65,670,000.00 ","$9,330,000.00 ",05/15/1969,11/15/1989
IBRD03580,El Salvador,5.5,USD,P007144,"$9,500,000.00 ",$608.79 ,"$9,499,391.21 ","$8,914,322.01 ","$585,069.20 ",05/01/1968,11/01/1983
IBRD03590,Norway,5.5,USD,P037471,"$25,000,000.00 ",$0.00 ,"$25,000,000.00 ","$24,498,082.90 ","$501,917.10 ",11/15/1968,11/15/1988
IBRD03600,Spain,5.5,USD,P037483,"$33,000,000.00 ","$838,168.45 ","$32,161,831.55 ","$30,503,243.83 ","$1,658,587.72 ",10/15/1968,11/15/1983
IBRD03610,"Yugoslavia, former",5.5,USD,P009139,"$35,000,000.00 ",$0.00 ,"$35,000,000.00 ","$34,625,000.00 ","$375,000.00 ",04/01/1968,10/01/1988
IBRD03620,Portugal,5.5,USD,P008619,"$7,500,000.00 ",$0.00 ,"$7,500,000.00 ","$6,869,751.38 ","$630,248.62 ",09/01/1965,09/01/1988
IBRD03630,Portugal,5.5,USD,P008620,"$5,000,000.00 ",$0.00 ,"$5,000,000.00 ","$4,905,000.00 ","$95,000.00 ",09/01/1967,09/01/1983
IBRD03640,New Zealand,5.5,USD,P037461,"$7,800,000.00 ","$1,073,126.00 ","$6,726,874.00 ","$4,414,966.09 ","$2,311,907.91 ",02/15/1968,02/15/1989
IBRD03650,Peru,5.5,USD,P007944,"$15,000,000.00 ",$1.58 ,"$14,999,998.42 ","$14,384,998.42 ","$615,000.00 ",02/15/1967,08/15/1988
IBRD03660,Chile,5.5,USD,P006586,"$19,000,000.00 ",$0.00 ,"$19,000,000.00 ","$18,775,000.00 ","$225,000.00 ",01/01/1969,07/01/1978
IBRD03670,Chile,5.5,USD,P006587,"$5,000,000.00 ","$1,436,055.89 ","$3,563,944.11 ","$3,273,944.11 ","$290,000.00 ",01/01/1969,07/01/1978
IBRD03681,Liberia,5.5,USD,P001410,"$3,250,000.00 ",$0.00 ,"$3,250,000.00 ","$2,950,000.00 ","$300,000.00 ",06/01/1972,06/01/1982
IBRD03682,Liberia,5.5,USD,P001410,"$1,000,000.00 ",$188.52 ,"$999,811.48 ","$999,811.48 ",$0.00 ,06/01/1972,06/01/1982
IBRD03691,Colombia,5.5,USD,P006706,"$41,550,000.00 ","$4,500,000.00 ","$37,050,000.00 ","$36,490,000.00 ","$560,000.00 ",04/15/1969,04/15/1999
IBRD03692,Colombia,6,USD,P006706,"$3,450,000.00 ","$1,510,566.77 ","$1,939,433.23 ","$1,939,433.23 ",$0.00 ,04/15/1969,04/15/1999
IBRD03700,Thailand,0,USD,P004661,"$2,500,000.00 ","$1,455,457.66 ","$1,044,542.34 ","$1,044,542.34 ",$0.00 ,04/01/1967,04/01/1972
IBRD03710,New Zealand,5.5,USD,P037460,"$32,500,000.00 ",$0.00 ,"$32,500,000.00 ","$28,777,375.69 ","$3,722,624.31 ",09/15/1966,03/15/1984
IBRD03720,Nigeria,5.5,USD,P002005,"$30,000,000.00 ",$0.00 ,"$30,000,000.00 ","$27,630,000.00 ","$2,370,000.00 ",09/01/1966,09/01/1983
IBRD03730,Peru,5.5,USD,P007945,"$3,100,000.00 ","$119,700.99 ","$2,980,299.01 ","$2,820,299.01 ","$160,000.00 ",03/15/1968,03/15/1989
IBRD03740,Japan,5.5,USD,P037445,"$50,000,000.00 ",$0.00 ,"$50,000,000.00 ","$41,036,478.00 ","$8,963,522.00 ",05/15/1969,05/15/1989
IBRD03750,Ethiopia,5.5,USD,P000664,"$23,500,000.00 ",$0.00 ,"$23,500,000.00 ","$22,275,000.00 ","$1,225,000.00 ",03/01/1969,03/01/1989
IBRD03760,Pakistan,5.5,USD,P010031,"$17,000,000.00 ","$1,222,187.32 ","$15,777,812.68 ","$14,887,812.68 ","$890,000.00 ",04/01/1969,04/01/1989
IBRD03770,Pakistan,5.5,USD,P010030,"$15,000,000.00 ",$0.00 ,"$15,000,000.00 ","$12,955,041.29 ","$2,044,958.71 ",07/01/1966,01/01/1984
IBRD03780,Algeria,5.5,USD,P004874,"$20,500,000.00 ",$0.00 ,"$20,500,000.00 ","$18,525,000.00 ","$1,975,000.00 ",05/15/1966,05/15/1976
IBRD03790,Ecuador,5.5,USD,P007037,"$9,000,000.00 ",$0.00 ,"$9,000,000.01 ","$8,880,000.01 ","$120,000.00 ",08/01/1969,08/01/1989
IBRD03800,Tunisia,5.5,USD,P005593,"$7,000,000.00 ","$14,518.62 ","$6,985,481.38 ","$6,145,543.28 ","$839,938.10 ",08/01/1967,02/01/1989
IBRD03810,"Iran, Islamic Republic of",5.5,USD,P005179,"$18,500,000.00 ","$1,800,000.00 ","$16,700,000.00 ","$15,240,000.00 ","$1,460,000.00 ",05/01/1968,05/01/1984
IBRD03820,Pakistan,0,USD,P010034,"$30,000,000.00 ","$2,313,370.92 ","$27,686,629.08 ","$27,686,629.08 ",$0.00 ,01/15/1966,01/15/1979
IBRD03830,Nigeria,5.5,USD,P002007,"$82,000,000.00 ",$0.00 ,"$82,000,000.00 ","$79,945,000.00 ","$2,055,000.00 ",08/15/1969,08/15/1999
IBRD03840,Finland,5.5,USD,P037376,"$28,500,000.00 ","$45,834.14 ","$28,454,165.86 ","$23,194,165.86 ","$5,260,000.00 ",03/15/1968,09/15/1979
IBRD03850,Gabon,5.5,USD,P000777,"$12,000,000.00 ","$11,277.97 ","$11,988,722.03 ","$11,373,722.03 ","$615,000.00 ",11/01/1968,11/01/1984
IBRD03860,Philippines,5.5,USD,P004413,"$20,200,000.00 ","$552,830.57 ","$19,647,169.43 ","$18,627,169.43 ","$1,020,000.00 ",07/01/1969,07/01/1989
IBRD03870,Spain,5.5,USD,P037484,"$65,000,000.00 ",$0.00 ,"$65,000,000.00 ","$63,324,966.25 ","$1,675,033.75 ",09/15/1968,09/15/1984
IBRD03880,Sierra Leone,5.5,USD,P002387,"$3,800,000.00 ",$0.00 ,"$3,800,000.00 ","$3,310,000.00 ","$490,000.00 ",05/15/1967,11/15/1984
IBRD03890,Morocco,5.5,USD,P005350,"$17,500,000.00 ","$2,172,204.49 ","$15,327,795.51 ","$15,027,795.51 ","$300,000.00 ",09/15/1972,09/15/1989
IBRD03900,"Venezuela, Republica Bolivariana de",5.5,USD,P008183,"$30,000,000.00 ",$0.00 ,"$30,000,000.00 ","$27,895,000.00 ","$2,105,000.00 ",02/01/1969,02/01/1985
IBRD03910,"Venezuela, Republica Bolivariana de",5.5,USD,P008182,"$14,000,000.00 ","$33,216.65 ","$13,966,783.35 ","$12,541,783.35 ","$1,425,000.00 ",09/01/1967,09/01/1984
IBRD03920,Southern Africa,5.5,USD,P003267,"$7,700,000.00 ",$0.00 ,"$7,700,000.00 ","$3,160,000.00 ","$4,540,000.00 ",03/01/1968,09/01/1989
IBRD03930,Philippines,5.5,USD,P004412,"$6,000,000.00 ","$135,600.74 ","$5,864,399.26 ","$5,864,399.26 ",$0.00 ,01/01/1975,01/01/1995
IBRD03940,Thailand,5.5,USD,P004662,"$22,000,000.00 ","$5,363,868.44 ","$16,636,131.56 ","$15,611,131.56 ","$1,025,000.00 ",03/15/1971,03/15/1985
IBRD03950,"Yugoslavia, former",5.5,USD,P009140,"$70,000,000.00 ",$0.00 ,"$70,000,000.00 ","$68,949,218.47 ","$1,050,781.53 ",03/01/1970,03/01/1990
IBRD03960,Paraguay,5.5,USD,P007851,"$2,200,000.00 ",$440.78 ,"$2,199,559.22 ","$2,139,559.22 ","$60,000.00 ",02/15/1970,08/15/1989
IBRD03970,"Taiwan, China",5.5,USD,P003661,"$15,000,000.00 ","$129,619.13 ","$14,870,380.87 ","$14,870,380.87 ",$0.00 ,07/15/1966,01/15/1982
IBRD03980,Japan,5.5,USD,P037447,"$25,000,000.00 ",$0.00 ,"$25,000,000.00 ","$21,645,000.00 ","$3,355,000.00 ",02/15/1969,02/15/1989
IBRD03990,Japan,5.5,USD,P037446,"$25,000,000.00 ",$0.00 ,"$25,000,000.00 ","$20,793,430.56 ","$4,206,569.44 ",03/15/1969,03/15/1990
IBRD04000,Honduras,5.5,USD,P007336,"$6,000,000.00 ","$20,930.08 ","$5,979,069.92 ","$5,889,069.92 ","$90,000.00 ",04/01/1971,04/01/1990
IBRD04010,Mexico,5.5,USD,P007511,"$32,000,000.00 ",$0.00 ,"$32,000,000.00 ","$29,467,306.57 ","$2,532,693.43 ",04/01/1969,04/01/1985
IBRD04020,Chile,5.5,USD,P006588,"$4,400,000.00 ",$0.00 ,"$4,400,000.00 ","$3,995,000.00 ","$405,000.00 ",04/15/1968,04/15/1985
IBRD04030,Brazil,5.5,USD,P006227,"$57,000,000.00 ",$0.00 ,"$57,000,000.00 ","$56,900,000.00 ","$100,000.00 ",07/01/1971,01/01/1990
IBRD04040,Brazil,5.5,USD,P006228,"$22,500,000.00 ","$2,700,000.00 ","$19,800,000.00 ","$19,600,000.00 ","$200,000.00 ",05/01/1970,05/01/1990
IBRD04050,Singapore,5.5,USD,P004633,"$6,800,000.00 ",$0.00 ,"$6,800,000.00 ","$5,710,000.00 ","$1,090,000.00 ",02/01/1969,02/01/1985
IBRD04060,Thailand,5.5,USD,P004663,"$6,000,000.00 ","$17,835.47 ","$5,982,164.53 ","$5,382,164.53 ","$600,000.00 ",02/15/1969,02/15/1985
IBRD04070,Uruguay,5.5,USD,P008114,"$12,700,000.00 ","$1,313.20 ","$12,698,686.80 ","$12,598,686.80 ","$100,000.00 ",06/01/1970,12/01/1979
IBRD04080,Jamaica,5.5,USD,P007403,"$5,500,000.00 ",$0.00 ,"$5,500,000.00 ","$5,218,000.00 ","$282,000.00 ",07/15/1970,07/15/1990
IBRD04090,"Taiwan, China",5.5,USD,P003662,"$20,000,000.00 ","$2,539,778.54 ","$17,460,221.46 ","$15,530,221.46 ","$1,930,000.00 ",04/15/1969,04/15/1985
IBRD04100,"Iran, Islamic Republic of",5.5,USD,P005180,"$32,000,000.00 ","$7,182,517.25 ","$24,817,482.75 ","$23,927,482.75 ","$890,000.00 ",11/01/1969,05/01/1990
IBRD04110,"Iran, Islamic Republic of",5.5,USD,P005181,"$8,500,000.00 ","$37,045.36 ","$8,462,954.64 ","$8,107,954.64 ","$355,000.00 ",05/01/1970,05/01/1985
IBRD04120,Portugal,5.5,USD,P008621,"$15,000,000.00 ",$0.00 ,"$15,000,000.00 ","$13,944,085.10 ","$1,055,914.90 ",12/01/1968,06/01/1985
IBRD04130,Japan,6.5,USD,P037448,"$75,000,000.00 ",$0.00 ,"$75,000,000.00 ","$60,710,762.93 ","$14,289,237.07 ",01/15/1970,07/15/1990
IBRD04140,India,5.5,USD,P009632,"$50,000,000.00 ","$2,762,498.38 ","$47,237,501.62 ","$47,237,501.62 ",$0.00 ,02/01/1968,08/01/1980
IBRD04150,Peru,5.5,USD,P007946,"$15,000,000.00 ",$0.00 ,"$15,000,000.00 ","$14,250,000.00 ","$750,000.00 ",10/01/1969,04/01/1980
IBRD04160,India,5.5,USD,P009633,"$70,000,000.00 ","$20,000,000.00 ","$50,000,000.00 ","$47,784,628.35 ","$2,215,371.65 ",11/15/1971,11/15/1991
IBRD04170,India,5.5,USD,P009634,"$14,000,000.00 ","$25,352.99 ","$13,974,647.01 ","$13,974,647.01 ",$0.00 ,12/01/1971,12/01/1991
IBRD04180,Peru,5.5,USD,P007947,"$11,000,000.00 ","$4,582,819.26 ","$6,417,180.74 ","$5,947,180.74 ","$470,000.00 ",04/15/1969,04/15/1985
IBRD04190,Italy,6.25,USD,P037420,"$100,000,000.00 ",$0.00 ,"$100,000,000.00 ","$69,117,012.50 ","$30,882,987.50 ",07/01/1969,07/01/1980
IBRD04200,Finland,5.5,USD,P037375,"$14,000,000.00 ","$7,499.52 ","$13,992,500.48 ","$13,992,500.48 ",$0.00 ,06/01/1966,06/01/1982
IBRD04210,Pakistan,5.5,USD,P010038,"$30,000,000.00 ","$9,398,971.09 ","$20,601,028.91 ","$20,601,028.91 ",$0.00 ,01/15/1968,07/15/1982
IBRD04220,"Iran, Islamic Republic of",0,USD,P005182,"$10,000,000.00 ","$189,505.82 ","$9,810,494.18 ","$9,810,494.18 ",$0.00 ,01/15/1969,01/15/1977
IBRD04230,Japan,6.5,USD,P037449,"$25,000,000.00 ",$0.00 ,"$25,000,000.00 ","$19,200,000.00 ","$5,800,000.00 ",11/01/1969,11/01/1989
IBRD04240,Israel,5.5,USD,P037405,"$20,000,000.00 ",$0.00 ,"$20,000,000.00 ","$20,000,000.00 ",$0.00 ,06/01/1968,06/01/1982
IBRD04250,Peru,5.5,USD,P007948,"$33,000,000.00 ",$0.00 ,"$33,000,000.00 ","$32,020,000.00 ","$980,000.00 ",08/15/1971,08/15/1990
IBRD04260,Nigeria,5.5,USD,P002009,"$17,500,000.00 ","$219,249.90 ","$17,280,750.10 ","$16,805,750.10 ","$475,000.00 ",01/15/1971,07/15/1990
IBRD04270,Nigeria,5.5,USD,P002010,"$14,500,000.00 ","$2,467,573.23 ","$12,032,426.77 ","$12,032,426.77 ",$0.00 ,01/15/1971,07/15/1990
IBRD04281,Eastern Africa,5.5,USD,P000621,"$12,885,000.00 ",$0.00 ,"$12,885,000.00 ","$12,285,000.00 ","$600,000.00 ",08/01/1972,08/01/1995
IBRD04282,Eastern Africa,5.5,USD,P000621,"$2,225,000.00 ",$0.00 ,"$2,171,000.99 ","$2,171,000.99 ",$0.00 ,08/01/1972,08/01/1995
IBRD04283,Kenya,5.5,USD,P000621,"$8,196,300.00 ",$0.00 ,"$8,196,300.00 ","$8,196,300.00 ",$0.00 ,08/01/1985,08/01/1995
IBRD04284,Tanzania,5.5,USD,P000621,"$6,244,800.00 ",$0.00 ,"$6,244,800.00 ","$6,244,800.00 ",$0.00 ,08/01/1985,08/01/1995
IBRD04286,Uganda,5.5,USD,P000621,"$5,073,900.00 ",$0.00 ,"$5,073,900.00 ","$5,073,900.00 ",$0.00 ,08/01/1985,08/01/1995
IBRD04287,Kenya,5.5,USD,P000621,"$1,417,500.00 ",$0.00 ,"$1,417,500.00 ","$1,417,500.00 ",$0.00 ,08/01/1985,08/01/1995
IBRD04288,Tanzania,5.5,USD,P000621,"$1,080,000.00 ",$0.00 ,"$1,080,000.00 ","$1,080,000.00 ",$0.00 ,08/01/1985,08/01/1995
IBRD04289,Uganda,5.5,USD,P000621,"$877,500.00 ",$0.00 ,"$877,500.00 ","$877,500.00 ",$0.00 ,08/01/1985,08/01/1995
IBRD04290,Spain,5.5,USD,P037485,"$40,000,000.00 ","$30,186.06 ","$39,969,813.94 ","$39,969,813.94 ",$0.00 ,12/01/1969,06/01/1985
IBRD04300,Mexico,5.5,USD,P007513,"$25,000,000.00 ",$0.00 ,"$25,000,000.00 ","$23,560,185.23 ","$1,439,814.77 ",08/15/1969,08/15/1985
IBRD04310,Chile,5.5,USD,P006589,"$2,750,000.00 ","$47,369.03 ","$2,702,630.97 ","$2,702,630.97 ",$0.00 ,05/15/1975,05/15/1995
IBRD04320,Philippines,5.5,USD,P004414,"$5,000,000.00 ",$163.82 ,"$4,999,836.18 ","$3,999,836.18 ","$1,000,000.00 ",12/01/1968,12/01/1977
IBRD04330,Morocco,5.5,USD,P005351,"$10,000,000.00 ","$223,766.43 ","$9,776,233.57 ","$8,801,389.31 ","$974,844.26 ",03/01/1970,03/01/1982
IBRD04340,Malaysia,5.5,USD,P004217,"$45,000,000.00 ",$0.00 ,"$45,000,000.00 ","$41,231,469.44 ","$3,768,530.56 ",10/01/1970,10/01/1990
IBRD04350,"Venezuela, Republica Bolivariana de",5.5,USD,P008184,"$37,000,000.00 ",$0.00 ,"$37,000,000.00 ","$34,125,058.47 ","$2,874,941.53 ",09/01/1969,09/01/1981
IBRD04361,Mexico,5.5,USD,P007514,"$93,400,000.00 ",$0.00 ,"$93,400,000.00 ","$92,000,369.13 ","$1,399,630.87 ",11/01/1969,11/01/1985
IBRD04362,Mexico,6,USD,P007514,"$16,600,000.00 ",$0.00 ,"$16,600,000.00 ","$16,600,000.00 ",$0.00 ,11/01/1969,11/01/1985
IBRD04370,Paraguay,5.5,USD,P007854,"$2,750,000.00 ",$366.96 ,"$2,749,633.04 ","$2,749,633.04 ",$0.00 ,10/01/1970,10/01/1990
IBRD04380,New Zealand,6.25,USD,P037463,"$42,000,000.00 ","$865,091.01 ","$41,134,908.99 ","$38,532,408.99 ","$2,602,500.00 ",04/15/1970,10/15/1980
IBRD04390,New Zealand,6.25,USD,P037462,"$20,500,000.00 ","$4,803,103.49 ","$15,696,896.51 ","$15,504,396.51 ","$192,500.00 ",03/15/1969,09/15/1980
IBRD04400,Sudan,5.5,USD,P002554,"$31,000,000.00 ",$0.00 ,"$31,000,000.00 ","$30,600,000.00 ","$400,000.00 ",08/15/1970,08/15/1990
IBRD04410,Ethiopia,5.5,USD,P000665,"$4,800,000.00 ",$0.00 ,"$4,800,000.00 ","$3,965,340.38 ","$834,659.62 ",03/01/1969,03/01/1985
IBRD04420,Brazil,6,USD,P006229,"$49,000,000.00 ",$0.00 ,"$49,000,000.00 ","$49,000,000.00 ",$0.00 ,10/01/1971,04/01/1991
IBRD04430,Paraguay,6,USD,P007853,"$2,100,000.00 ","$35,631.45 ","$2,064,368.55 ","$1,934,368.55 ","$130,000.00 ",02/15/1971,02/15/1986
IBRD04440,"Venezuela, Republica Bolivariana de",6,USD,P008185,"$21,300,000.00 ","$4,152,142.28 ","$17,147,857.72 ","$16,697,790.96 ","$450,066.76 ",04/15/1969,10/15/1983
IBRD04450,Finland,6,USD,P037377,"$20,000,000.00 ",$0.00 ,"$20,000,000.00 ","$19,393,000.00 ","$607,000.00 ",08/01/1969,08/01/1981
IBRD04460,Peru,6,USD,P007949,"$9,100,000.00 ","$852,801.07 ","$8,247,198.93 ","$7,994,198.93 ","$253,000.00 ",05/15/1971,05/15/1991
IBRD04470,Morocco,0,USD,P005352,"$17,500,000.00 ","$1,328,211.10 ","$16,171,788.90 ","$16,171,788.90 ",$0.00 ,01/15/1969,07/15/1983
IBRD04480,Colombia,6,USD,P006707,"$16,700,000.00 ","$3,292,976.70 ","$13,407,023.30 ","$13,407,023.30 ",$0.00 ,09/15/1972,09/15/1984
IBRD04490,Tunisia,0,USD,P005594,"$5,000,000.00 ","$278,135.08 ","$4,721,864.92 ","$4,721,864.92 ",$0.00 ,05/01/1968,05/01/1984
IBRD04500,Mexico,6,USD,P007512,"$19,000,000.00 ","$609,688.49 ","$18,390,311.51 ","$18,390,311.51 ",$0.00 ,03/01/1972,03/01/1986
IBRD04510,Colombia,6,USD,P006708,"$25,000,000.00 ","$359,408.47 ","$24,640,591.53 ","$23,610,591.53 ","$1,030,000.00 ",12/01/1970,12/01/1986
IBRD04520,Portugal,6,USD,P008622,"$20,000,000.00 ",$0.00 ,"$20,000,000.00 ","$19,619,782.46 ","$380,217.54 ",03/01/1971,03/01/1986
IBRD04530,Portugal,6,USD,P008623,"$10,000,000.00 ",$0.00 ,"$10,000,000.00 ","$9,599,098.46 ","$400,901.54 ",06/01/1969,06/01/1981
IBRD04540,Jamaica,6,USD,P007404,"$22,000,000.00 ","$1,253,567.32 ","$20,746,432.68 ","$19,829,964.17 ","$916,468.51 ",03/15/1970,03/15/1986
IBRD04550,Thailand,6,USD,P004664,"$36,000,000.00 ","$4,936,606.89 ","$31,063,393.11 ","$29,553,393.11 ","$1,510,000.00 ",10/15/1970,10/15/1990
IBRD04560,India,6,USD,P009639,"$30,000,000.00 ","$28,256,981.39 ","$1,743,018.61 ","$1,743,018.61 ",$0.00 ,11/15/1971,05/15/1984
IBRD04570,Iraq,6,USD,P005232,"$23,000,000.00 ","$4,021,660.65 ","$18,978,339.35 ","$18,678,339.35 ","$300,000.00 ",07/15/1970,07/15/1986
IBRD04580,Malaysia,6,USD,P004219,"$37,000,000.00 ","$9,331,958.55 ","$27,668,041.45 ","$23,264,396.02 ","$4,403,645.43 ",10/15/1970,10/15/1986
IBRD04590,"Iran, Islamic Republic of",0,USD,P005183,"$25,000,000.00 ","$367,095.55 ","$24,632,904.45 ","$24,632,904.45 ",$0.00 ,01/15/1969,01/15/1983
IBRD04600,Japan,6.63,USD,P037450,"$100,000,000.00 ",$0.00 ,"$100,000,000.00 ","$68,386,782.54 ","$31,613,217.46 ",08/01/1969,08/01/1981
IBRD04610,Turkey,0,USD,P008884,"$10,000,000.00 ","$5,358.26 ","$9,994,641.74 ","$9,994,641.74 ",$0.00 ,01/15/1969,07/15/1978
IBRD04620,Singapore,6,USD,P004635,"$15,000,000.00 ",$0.00 ,"$15,000,000.00 ","$11,997,146.63 ","$3,002,853.37 ",09/15/1971,09/15/1991
IBRD04630,Honduras,6,USD,P007338,"$4,800,000.00 ","$231,653.70 ","$4,568,346.30 ","$4,298,346.30 ","$270,000.00 ",06/01/1971,12/01/1990
IBRD04640,Peru,6,USD,P007950,"$10,000,000.00 ",$168.62 ,"$9,999,831.38 ","$9,489,831.38 ","$510,000.00 ",12/01/1969,12/01/1986
IBRD04650,South Africa,6.25,USD,P037482,"$20,000,000.00 ",$0.00 ,"$20,000,000.00 ","$2,637,654.09 ","$17,362,345.91 ",06/01/1968,12/01/1976
IBRD04660,Iceland,6,USD,P037390,"$18,000,000.00 ",$0.00 ,"$18,000,000.00 ","$12,466,270.96 ","$5,533,729.04 ",04/01/1971,04/01/1991
IBRD04670,Philippines,0,USD,P004415,"$25,000,000.00 ","$144,419.67 ","$24,855,580.33 ","$24,855,580.33 ",$0.00 ,01/01/1968,01/01/1984
IBRD04680,Jamaica,6,USD,P007406,"$9,500,000.00 ",$0.00 ,"$9,500,000.00 ","$9,350,000.00 ","$150,000.00 ",01/15/1972,01/15/1987
IBRD04690,Zambia,6,USD,P003153,"$17,500,000.00 ","$4,197,307.40 ","$13,302,692.60 ","$12,702,685.45 ","$600,007.15 ",07/15/1970,07/15/1986
IBRD04700,Nicaragua,6,USD,P007747,"$5,000,000.00 ",$0.00 ,"$5,000,000.00 ","$4,655,000.00 ","$345,000.00 ",04/01/1969,04/01/1986
IBRD04710,Thailand,6,USD,P004665,"$6,000,000.00 ","$95,062.34 ","$5,904,937.66 ","$5,904,937.66 ",$0.00 ,11/01/1976,11/01/1996
IBRD04720,World,0,USD,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,04/01/1970,04/01/1970
IBRD04730,Singapore,6,USD,P004634,"$10,000,000.00 ","$456,542.54 ","$9,543,457.46 ","$8,538,457.46 ","$1,005,000.00 ",01/01/1968,01/01/1987
IBRD04741,Brazil,6,USD,P006234,"$19,000,000.00 ",$0.00 ,"$19,000,000.00 ","$18,555,000.00 ","$445,000.00 ",07/01/1971,07/01/1991
IBRD04742,Brazil,6.25,USD,P006234,"$20,000,000.00 ",$0.00 ,"$20,000,000.00 ","$20,000,000.00 ",$0.00 ,07/01/1972,07/01/1991
IBRD04750,Brazil,6,USD,P006230,"$6,200,000.00 ",$671.24 ,"$6,199,328.76 ","$6,199,328.76 ",$0.00 ,02/15/1972,02/15/1987
IBRD04760,Brazil,6,USD,P006231,"$8,100,000.00 ",$249.28 ,"$8,099,750.72 ","$8,099,750.72 ",$0.00 ,02/15/1972,02/15/1987
IBRD04770,Brazil,6,USD,P006232,"$41,000,000.00 ","$130,028.11 ","$40,869,972.00 ","$40,004,972.00 ","$865,000.00 ",02/15/1972,02/15/1987
IBRD04780,Brazil,6,USD,P006233,"$6,300,000.00 ",$117.87 ,"$6,299,882.13 ","$6,299,882.13 ",$0.00 ,02/15/1972,02/15/1987
IBRD04791,Chile,6,USD,P006590,"$60,000,000.00 ",$0.00 ,"$60,000,000.00 ","$60,000,000.00 ",$0.00 ,01/01/1974,01/01/1997
IBRD04792,Chile,7.25,USD,P006590,"$6,700,000.00 ","$285,650.65 ","$6,414,349.35 ","$6,414,349.35 ",$0.00 ,01/01/1975,01/01/1997
IBRD04800,"Congo, Republic of",6,USD,P000536,"$30,000,000.00 ",$0.00 ,"$30,000,000.00 ","$30,000,000.00 ",$0.00 ,12/01/1970,06/01/1984
IBRD04810,Jamaica,6,USD,P007405,"$11,200,000.00 ","$11,187,012.44 ","$12,987.56 ","$12,987.56 ",$0.00 ,03/15/1972,03/15/1982
IBRD04820,"Venezuela, Republica Bolivariana de",6,USD,P008186,"$15,000,000.00 ","$1,210,776.71 ","$13,789,223.29 ","$12,909,016.67 ","$880,206.62 ",09/15/1970,03/15/1987
IBRD04830,Eastern Africa,6,USD,P000622,"$6,715,000.00 ",$0.00 ,"$6,715,000.00 ","$6,715,000.00 ",$0.00 ,09/15/1971,09/15/1991
IBRD04831,Kenya,6,USD,P000622,"$2,639,700.00 ",$0.00 ,"$2,639,700.00 ","$2,639,700.00 ",$0.00 ,03/15/1985,09/15/1991
IBRD04832,Tanzania,6,USD,P000622,"$2,011,200.00 ",$0.00 ,"$2,011,200.00 ","$2,011,200.00 ",$0.00 ,03/15/1985,09/15/1991
IBRD04833,Uganda,6,USD,P000622,"$1,634,100.00 ",$0.00 ,"$1,634,100.00 ","$1,634,100.00 ",$0.00 ,03/15/1985,09/15/1991
IBRD04840,Tunisia,6,USD,P005595,"$12,000,000.00 ","$5,900,000.00 ","$6,100,000.00 ","$5,599,222.98 ","$500,777.02 ",04/15/1972,04/15/1985
IBRD04850,"Yugoslavia, former",6,USD,P009141,"$10,000,000.00 ",$0.00 ,"$10,000,000.00 ","$8,938,067.98 ","$1,061,932.02 ",05/15/1972,05/15/1987
IBRD04860,Trinidad and Tobago,6,USD,P008078,"$5,000,000.00 ",$0.00 ,"$5,000,000.00 ","$4,690,428.96 ","$309,571.04 ",01/15/1972,01/15/1990
IBRD04870,Guatemala,6,USD,P007180,"$15,000,000.00 ",$765.39 ,"$14,999,234.61 ","$14,949,234.61 ","$50,000.00 ",07/01/1971,07/01/1992
IBRD04880,Pakistan,6,USD,P010042,"$21,500,000.00 ","$3,409.00 ","$21,496,591.00 ","$21,246,591.00 ","$250,000.00 ",07/15/1970,07/15/1987
IBRD04890,Thailand,6,USD,P004666,"$5,000,000.00 ","$2,609.87 ","$4,997,390.13 ","$3,777,390.13 ","$1,220,000.00 ",02/15/1970,02/15/1982
IBRD04900,Cameroon,6,USD,P000312,"$7,000,000.00 ",$189.63 ,"$6,999,810.37 ","$6,999,810.37 ",$0.00 ,01/01/1976,07/01/1997
